case,n_F,AverageVel_x,AverageVel_y,AverageVel_z,LatticeViscosity,GradPx,Permeability_x,Permeability_y,Permeability_z
53,0.79163475,4.28382E-06,4.62299E-06,5.09293E-06,0.166667,2.51256E-07,2.8416,3.06659,3.37831
54,0.79454375,5.10173E-06,5.57749E-06,5.89198E-06,0.166667,2.51256E-07,3.38414,3.69974,3.90834
55,0.788783875,4.09248E-06,4.71958E-06,5.26111E-06,0.166667,2.51256E-07,2.71468,3.13066,3.48987
56,0.794524875,4.52337E-06,5.00638E-06,4.92097E-06,0.166667,2.51256E-07,3.0005,3.3209,3.26424
57,0.803188875,4.50651E-06,5.66275E-06,5.55596E-06,0.166667,2.51256E-07,2.98932,3.75629,3.68546
58,0.80250675,4.36364E-06,5.70629E-06,5.21522E-06,0.166667,2.51256E-07,2.89454,3.78517,3.45943
59,0.80138775,4.50596E-06,5.07501E-06,5.8953E-06,0.166667,2.51256E-07,2.98895,3.36642,3.91055
60,0.801312125,4.48921E-06,5.30951E-06,6.46155E-06,0.166667,2.51256E-07,2.97784,3.52197,4.28616
61,0.815020625,6.50562E-06,6.10735E-06,7.09463E-06,0.166667,2.51256E-07,4.3154,4.05121,4.7061
62,0.812880875000001,6.35443E-06,6.98384E-06,7.96142E-06,0.166667,2.51256E-07,4.21511,4.63261,5.28108
63,0.80484475,5.44158E-06,6.31071E-06,6.26863E-06,0.166667,2.51256E-07,3.60958,4.18611,4.15819
64,0.793416375,4.22043E-06,4.86594E-06,5.44873E-06,0.166667,2.51256E-07,2.79955,3.22774,3.61433
65,0.796086625,5.18575E-06,5.69137E-06,5.59076E-06,0.166667,2.51256E-07,3.43988,3.77528,3.70854
66,0.7975265,4.74222E-06,5.4422E-06,5.46383E-06,0.166667,2.51256E-07,3.14567,3.60999,3.62434
67,0.801373625000001,4.93201E-06,5.54036E-06,5.59895E-06,0.166667,2.51256E-07,3.27157,3.67511,3.71397
68,0.805837125,4.545E-06,6.15591E-06,5.49175E-06,0.166667,2.51256E-07,3.01485,4.08342,3.64286
69,0.808084749999999,4.48224E-06,5.87473E-06,6.0553E-06,0.166667,2.51256E-07,2.97322,3.8969,4.01668
70,0.802404,4.57099E-06,4.87368E-06,6.70444E-06,0.166667,2.51256E-07,3.03209,3.23288,4.44728
71,0.80510275,4.61948E-06,5.30835E-06,6.3023E-06,0.166667,2.51256E-07,3.06426,3.52121,4.18052
72,0.803193,4.87667E-06,5.30012E-06,5.55864E-06,0.166667,2.51256E-07,3.23486,3.51574,3.68723
73,0.80651,5.20639E-06,6.19887E-06,7.3384E-06,0.166667,2.51256E-07,3.45357,4.11192,4.86781
74,0.7986035,4.54434E-06,6.17641E-06,6.28387E-06,0.166667,2.51256E-07,3.01441,4.09702,4.1683
75,0.794503374999999,4.58835E-06,5.96963E-06,5.70016E-06,0.166667,2.51256E-07,3.0436,3.95985,3.7811
76,0.791563875,4.49791E-06,4.94043E-06,5.09725E-06,0.166667,2.51256E-07,2.98361,3.27715,3.38118
77,0.794566125,4.84026E-06,5.7968E-06,5.52314E-06,0.166667,2.51256E-07,3.2107,3.84521,3.66369
78,0.7986165,5.11942E-06,5.17822E-06,5.83642E-06,0.166667,2.51256E-07,3.39588,3.43489,3.87149
79,0.801552125,4.71806E-06,4.88038E-06,5.68321E-06,0.166667,2.51256E-07,3.12965,3.23732,3.76986
80,0.806656124999999,4.68554E-06,5.1826E-06,6.70746E-06,0.166667,2.51256E-07,3.10808,3.43779,4.44928
81,0.8035135,4.27555E-06,4.83094E-06,6.99588E-06,0.166667,2.51256E-07,2.83612,3.20452,4.6406
82,0.808159875,4.64813E-06,7.13124E-06,7.43432E-06,0.166667,2.51256E-07,3.08326,4.73039,4.93144
83,0.80388325,4.45384E-06,7.84829E-06,6.76539E-06,0.166667,2.51256E-07,2.95438,5.20603,4.48771
84,0.80234875,4.76739E-06,6.69205E-06,6.36733E-06,0.166667,2.51256E-07,3.16237,4.43906,4.22366
85,0.79447975,4.51423E-06,5.42004E-06,6.5344E-06,0.166667,2.51256E-07,2.99444,3.5953,4.33449
86,0.79567975,5.05312E-06,5.97474E-06,6.40349E-06,0.166667,2.51256E-07,3.3519,3.96325,4.24765
87,0.791526125,4.17539E-06,5.19823E-06,5.37667E-06,0.166667,2.51256E-07,2.76968,3.44816,3.56652
88,0.793476375,5.15942E-06,5.68892E-06,5.54566E-06,0.166667,2.51256E-07,3.42241,3.77365,3.67862
89,0.795579624999999,5.86352E-06,5.11821E-06,5.83523E-06,0.166667,2.51256E-07,3.88947,3.39508,3.8707
90,0.800445625,5.68996E-06,4.7876E-06,6.45329E-06,0.166667,2.51256E-07,3.77434,3.17577,4.28068
91,0.803779249999999,5.21344E-06,5.00848E-06,6.98556E-06,0.166667,2.51256E-07,3.45825,3.32229,4.63376
92,0.801330875,4.57218E-06,4.99151E-06,6.8998E-06,0.166667,2.51256E-07,3.03288,3.31103,4.57686
93,0.8060955,4.90876E-06,6.07169E-06,7.10933E-06,0.166667,2.51256E-07,3.25614,4.02755,4.71586
94,0.806895375,5.34202E-06,6.60521E-06,7.28878E-06,0.166667,2.51256E-07,3.54354,4.38145,4.83489
95,0.803614499999999,5.29375E-06,5.59709E-06,6.06767E-06,0.166667,2.51256E-07,3.51152,3.71274,4.02489
96,0.796267875,4.6458E-06,5.10716E-06,5.94968E-06,0.166667,2.51256E-07,3.08172,3.38775,3.94662
97,0.796975625,4.94281E-06,5.66588E-06,5.89374E-06,0.166667,2.51256E-07,3.27873,3.75837,3.90952
98,0.78302375,4.52499E-06,4.66088E-06,5.04435E-06,0.166667,2.51256E-07,3.00158,3.09172,3.34608
99,0.793566625,4.92073E-06,5.66427E-06,5.70968E-06,0.166667,2.51256E-07,3.26408,3.7573,3.78742
100,0.78748725,4.86627E-06,4.67672E-06,5.59673E-06,0.166667,2.51256E-07,3.22796,3.10222,3.7125
101,0.802177125,5.97039E-06,5.09367E-06,6.63233E-06,0.166667,2.51256E-07,3.96036,3.3788,4.39944
102,0.804174000000001,6.00521E-06,5.15202E-06,7.25637E-06,0.166667,2.51256E-07,3.98345,3.4175,4.81339
103,0.800778375,5.41776E-06,4.99312E-06,6.71704E-06,0.166667,2.51256E-07,3.59378,3.3121,4.45563
104,0.79870275,5.50447E-06,5.19803E-06,7.03814E-06,0.166667,2.51256E-07,3.6513,3.44803,4.66863
105,0.802184,5.90352E-06,5.5781E-06,7.00552E-06,0.166667,2.51256E-07,3.916,3.70014,4.647
106,0.80875475,5.74107E-06,5.8617E-06,6.86242E-06,0.166667,2.51256E-07,3.80824,3.88826,4.55207
107,0.80472,5.54408E-06,5.73296E-06,6.39521E-06,0.166667,2.51256E-07,3.67757,3.80286,4.24216
108,0.797441875,5.22552E-06,5.92518E-06,5.5428E-06,0.166667,2.51256E-07,3.46626,3.93037,3.67672
109,0.769795375,3.50803E-06,3.70602E-06,4.30361E-06,0.166667,2.51256E-07,2.327,2.45833,2.85473
110,0.788870875,5.04272E-06,5.23166E-06,6.23958E-06,0.166667,2.51256E-07,3.34501,3.47033,4.13892
